id,lat,lon,user,uid,version,changeset,timestamp
4826498152,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
1763012935,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
3823956308,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
4793451461,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
833392089,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2390062800,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
201234407,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
814186751,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
929294631,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2598423416,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
1576580845,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
6220665656,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2798930830,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2619788166,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2621383508,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
3305137920,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2621383741,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
507891607,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2276661315,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
262975332,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
3800709165,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
5854305712,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2083041818,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
814186670,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
4844016260,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2598423220,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
540239413,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
7091617473,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
7542456256,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
1576580841,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2988122999,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
3305141975,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
2390372225,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
249734346,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
3305137905,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
262979147,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
4465310986,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
321811864,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
248571225,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
7603663792,0.0,0.0,dummy,-1,1,-1,2020-09-25T00:00:00Z
