id,key,value,type
95205772,created_by,JOSM,regular
95205785,created_by,JOSM,regular
95205802,created_by,JOSM,regular
95205804,created_by,JOSM,regular
95205806,created_by,JOSM,regular
95205814,created_by,JOSM,regular
95205819,created_by,JOSM,regular
95205823,created_by,JOSM,regular
95205827,created_by,JOSM,regular
95205831,created_by,JOSM,regular
95205835,created_by,JOSM,regular
95205840,created_by,JOSM,regular
95205913,created_by,JOSM,regular
95205920,name,Klein Offenseth-Sparrieshoop,regular
95205920,traffic_sign,city_limit,regular
95205930,created_by,JOSM,regular
195451246,highway,traffic_signals,regular
195451249,highway,traffic_signals,regular
195451249,railway,level_crossing,regular
195755829,highway,turning_circle,regular
195760475,highway,turning_circle,regular
195770305,noexit,yes,regular
195811908,amtlicher_gemeindeschluessel,01056048,de
195811908,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
195811908,name,Tornesch,regular
195811908,place,town,regular
195811908,population,12876,regular
195811908,postal_code,25436,regular
195815236,amtlicher_gemeindeschluessel,01056049,de
195815236,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
195815236,name,Uetersen,regular
195815236,place,town,regular
195815236,population,17871,regular
195815236,postal_code,25436,regular
195815236,wikidata,Q1404,regular
195869288,railway,switch,regular
195869288,local_operated,yes,railway
195869288,switch,default,railway
195869288,switch:electric,no,railway
195869288,turnout_side,left,railway
195869291,railway,level_crossing,regular
196426826,bridge:category,fixed,seamark
196426826,type,bridge,seamark
196427126,highway,traffic_signals,regular
196434055,traffic_calming,chicane,regular
196434058,highway,turning_circle,regular
196435542,highway,turning_circle,regular
196435551,highway,turning_circle,regular
196436416,traffic_calming,chicane,regular
196436419,traffic_calming,chicane,regular
196450591,highway,traffic_signals,regular
196454871,highway,traffic_signals,regular
196457261,bus,yes,regular
196457261,name,"Uetersen, Ostbahnhof",regular
196457261,public_transport,stop_position,regular
197410280,highway,traffic_signals,regular
197414721,traffic_calming,choker,regular
197416499,highway,turning_circle,regular
197431825,traffic_calming,choker,regular
197432438,traffic_calming,choker,regular
197442028,highway,traffic_signals,regular
197442201,note,Ortsschild Heidgraben,regular
197442219,bus,yes,regular
197442219,name,"Uetersen, Am Seeth",regular
197442219,public_transport,stop_position,regular
201224002,power,tower,regular
201224002,ref,61,regular
201224002,source,Yahoo,regular
201224002,ref,interpolation,source
201224003,power,tower,regular
201224003,ref,60,regular
201224003,source,Yahoo,regular
201224003,ref,interpolation,source
201224005,power,tower,regular
201224005,ref,59,regular
201224005,source,Yahoo,regular
201224005,ref,interpolation,source
201224006,power,tower,regular
201224006,ref,58,regular
201224006,source,Yahoo,regular
201224006,ref,interpolation,source
201224007,power,tower,regular
201224007,ref,57,regular
201224007,source,Yahoo,regular
201224007,ref,interpolation,source
201224008,power,tower,regular
201224008,ref,56,regular
201224008,source,Yahoo,regular
201224008,ref,interpolation,source
201224009,power,tower,regular
201224009,ref,55,regular
201224009,source,survey,regular
201224010,power,tower,regular
201224010,ref,54,regular
201224010,source,Yahoo,regular
201224010,ref,interpolation,source
201224011,power,tower,regular
201224011,ref,53,regular
201224011,source,Yahoo,regular
201224011,ref,interpolation,source
201224013,power,tower,regular
201224013,ref,52,regular
201224013,source,Yahoo,regular
201224013,ref,interpolation,source
201224014,power,tower,regular
201224014,ref,51,regular
201224014,source,Yahoo,regular
201224014,ref,interpolation,source
201224016,power,tower,regular
201224016,ref,50,regular
201224016,source,Yahoo,regular
201224016,ref,interpolation,source
201224017,power,tower,regular
201224017,ref,49,regular
201224017,source,Yahoo,regular
201224017,ref,interpolation,source
201224019,power,tower,regular
201224019,ref,48,regular
201224019,source,Yahoo,regular
201224019,ref,interpolation,source
201224020,power,tower,regular
201224020,ref,47,regular
201224020,source,Yahoo,regular
201224020,ref,interpolation,source
201224022,power,tower,regular
201224022,ref,46,regular
201224022,source,Yahoo,regular
201224022,ref,interpolation,source
201224023,power,tower,regular
201224023,ref,45,regular
201224023,source,Yahoo,regular
201224023,ref,interpolation,source
201234430,power,tower,regular
201234430,ref,587,regular
201234432,power,tower,regular
201234432,ref,588,regular
201234433,power,tower,regular
201234433,ref,589,regular
201234435,power,tower,regular
201234435,ref,590,regular
201234438,power,tower,regular
201234438,ref,592,regular
201234440,power,tower,regular
201234440,ref,593,regular
201234441,power,tower,regular
201234441,ref,594,regular
201234442,power,tower,regular
201234442,ref,595,regular
201234443,power,tower,regular
201234443,ref,596,regular
201234444,power,tower,regular
201234444,ref,597,regular
201234446,power,tower,regular
201234446,ref,598,regular
201234447,power,tower,regular
201234447,ref,599,regular
201234449,power,tower,regular
201234449,ref,600,regular
201234450,power,tower,regular
201234450,ref,601,regular
201234452,power,tower,regular
201234452,ref,602,regular
201234453,power,tower,regular
201234453,ref,603,regular
201234454,power,tower,regular
201234454,ref,604,regular
201234455,power,tower,regular
201234455,ref,605,regular
201234456,power,tower,regular
201234456,ref,606,regular
201234457,power,tower,regular
201234457,ref,607,regular
202991604,highway,turning_circle,regular
202996082,highway,turning_circle,regular
203293926,highway,traffic_signals,regular
203311602,bus,yes,regular
203311602,name,"Heidgraben, Liether Damm",regular
203311602,public_transport,stop_position,regular
206149404,crossing,traffic_signals,regular
206149404,highway,crossing,regular
206149430,highway,traffic_signals,regular
206149462,highway,traffic_signals,regular
206149540,created_by,JOSM,regular
206149550,bus,yes,regular
206149550,name,Carl-Zeiss-Straße,regular
206149550,public_transport,stop_position,regular
206149551,bus,yes,regular
206149551,name,Carl-Zeiss-Straße,regular
206149551,public_transport,stop_position,regular
206149552,bus,yes,regular
206149552,name,Fuchsberger Allee,regular
206149552,public_transport,stop_position,regular
206341029,name,Klein Nordende,regular
206341029,traffic_sign,city_limit,regular
207481817,railway,crossing,regular
207481841,barrier,half,crossing
207481841,railway,level_crossing,regular
207481842,railway,switch,regular
207481842,switch,default,railway
207481842,turnout_side,left,railway
213209358,highway,turning_circle,regular
213209359,barrier,bollard,regular
213209359,bicycle,yes,regular
213209359,foot,yes,regular
215163312,highway,traffic_signals,regular
215324200,railway,level_crossing,regular
215379593,highway,traffic_signals,regular
215392910,highway,traffic_signals,regular
218316815,direction,forward,regular
218316815,highway,give_way,regular
218361359,bicycle,yes,regular
218361359,crossing,traffic_signals,regular
218361359,highway,crossing,regular
218377346,bus,yes,regular
218377346,name,"Ahrenlohe, Prisdorfer Weg",regular
218377346,public_transport,stop_position,regular
226914273,bus,yes,regular
226914273,name,"Tornesch, Hypatia-Straße",regular
226914273,public_transport,stop_position,regular
226923488,name,Tornesch,regular
226923488,traffic_sign,city_limit,regular
226923494,name,Tornesch,regular
226923494,traffic_sign,city_limit,regular
226940922,direction,backward,regular
226940922,highway,give_way,regular
226970966,highway,traffic_signals,regular
226973664,bus,yes,regular
226973664,name,"Tornesch, Am Steinberg",regular
226973664,public_transport,stop_position,regular
226975121,barrier,bollard,regular
226975121,bicycle,yes,regular
226975121,foot,yes,regular
240023803,name,Heidgraben,regular
240023803,nds,Haidgraven,name
240023803,place,village,regular
240023803,population,2724,regular
240023803,website,https://amt-geest-und-marsch-suedholstein.de/willkommen/heidgraben,regular
240026363,amtlicher_gemeindeschluessel,01056008,de
240026363,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240026363,name,Bokholt-Hanredder,regular
240026363,place,village,regular
240026363,population,1259,regular
240026363,postal_code,25335,regular
240033277,is_in,"Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240033277,name,Pinneberg,regular
240033277,community_identification_number,01056,openGeoDB
240033277,license_plate_code,PI,openGeoDB
240033277,loc_id,485,openGeoDB
240033277,location,region,openGeoDB
240033277,type,Kreis,openGeoDB
240033277,place,county,regular
240033277,population,301223,regular
240033277,wikidata,Q3006,regular
240033277,wikipedia,de:Kreis Pinneberg,regular
240036785,amtlicher_gemeindeschluessel,01056015,de
240036785,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240036785,name,Elmshorn,regular
240036785,ru,Эльмсхорн,name
240036785,place,town,regular
240036785,population,50735,regular
240036785,postal_code,"25335,25336,25337",regular
240036785,LOCODE,DEELM,ref
240036785,website,https://elmshorn.de,regular
240036785,wikidata,Q6845,regular
240036785,wikipedia,de:Elmshorn,regular
240047704,name,Bullenkuhlen,regular
240047704,nds,Bullenkuhlen,name
240047704,place,village,regular
240047704,population,363,regular
240048199,name,Groß Nordende,regular
240048199,nds,Groten Noordinn,name
240048199,auto_update,"population,place,name",openGeoDB
240048199,combination_of_public_administration,Amt Moorrege,openGeoDB
240048199,community_identification_number,01056016,openGeoDB
240048199,is_in,"Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240048199,is_in_loc_id,485,openGeoDB
240048199,layer,6,openGeoDB
240048199,license_plate_code,PI,openGeoDB
240048199,loc_id,17538,openGeoDB
240048199,location,political_structure,openGeoDB
240048199,name,Groß Nordende,openGeoDB
240048199,population,707,openGeoDB
240048199,postal_codes,25436,openGeoDB
240048199,sort_name,GROSS NORDENDE,openGeoDB
240048199,telephone_area_code,04122,openGeoDB
240048199,type,Gemeinde,openGeoDB
240048199,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240048199,place,village,regular
240048199,population,707,regular
240052257,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240052257,name,Bevern,regular
240052257,auto_update,population,openGeoDB
240052257,combination_of_public_administration,Amt Rantzau,openGeoDB
240052257,community_identification_number,01056003,openGeoDB
240052257,is_in,"Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240052257,is_in_loc_id,485,openGeoDB
240052257,layer,6,openGeoDB
240052257,license_plate_code,PI,openGeoDB
240052257,loc_id,14442,openGeoDB
240052257,location,political_structure,openGeoDB
240052257,name,"Bevern, Holstein",openGeoDB
240052257,population,583,openGeoDB
240052257,postal_codes,25355,openGeoDB
240052257,sort_name,BEVERN,openGeoDB
240052257,telephone_area_code,04123,openGeoDB
240052257,type,Gemeinde,openGeoDB
240052257,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240052257,place,village,regular
240052257,population,583,regular
240057546,amtlicher_gemeindeschluessel,01056031,de
240057546,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240057546,name,Kölln-Reisiek,regular
240057546,nds,Kölln-Reisiek,name
240057546,place,village,regular
240057546,population,2620,regular
240057546,postal_code,25337,regular
240061927,is_in,"Steinburg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240061927,name,Kiebitzreihe,regular
240061927,nds,Kiebitzreeg,name
240061927,auto_update,"population,place,name,is_in",openGeoDB
240061927,combination_of_public_administration,Amt Horst,openGeoDB
240061927,community_identification_number,01061050,openGeoDB
240061927,is_in,"Steinburg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240061927,is_in_loc_id,257,openGeoDB
240061927,layer,6,openGeoDB
240061927,license_plate_code,IZ,openGeoDB
240061927,loc_id,19230,openGeoDB
240061927,location,political_structure,openGeoDB
240061927,name,Kiebitzreihe,openGeoDB
240061927,population,2279,openGeoDB
240061927,postal_codes,25368,openGeoDB
240061927,sort_name,KIEBITZREIHE,openGeoDB
240061927,telephone_area_code,04121,openGeoDB
240061927,type,Gemeinde,openGeoDB
240061927,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240061927,place,village,regular
240061927,population,2279,regular
240063289,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240063289,name,Prisdorf,regular
240063289,nds,Prisdörp,name
240063289,auto_update,"population,place,name",openGeoDB
240063289,combination_of_public_administration,Amt Pinneberg-Land,openGeoDB
240063289,community_identification_number,01056040,openGeoDB
240063289,is_in,"Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240063289,is_in_loc_id,485,openGeoDB
240063289,layer,6,openGeoDB
240063289,license_plate_code,PI,openGeoDB
240063289,loc_id,22642,openGeoDB
240063289,location,political_structure,openGeoDB
240063289,name,Prisdorf,openGeoDB
240063289,population,2209,openGeoDB
240063289,postal_codes,25497,openGeoDB
240063289,sort_name,PRISDORF,openGeoDB
240063289,telephone_area_code,04101,openGeoDB
240063289,type,Gemeinde,openGeoDB
240063289,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240063289,place,village,regular
240063289,population,2209,regular
240066955,amtlicher_gemeindeschluessel,01056002,de
240066955,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
240066955,name,Barmstedt,regular
240066955,place,town,regular
240066955,population,9475,regular
240066955,postal_code,25355,regular
240066955,LOCODE,DEBMT,ref
240077720,name,Seeth-Ekholt,regular
240077720,auto_update,"population,place,name",openGeoDB
240077720,combination_of_public_administration,Amt Elmshorn-Land,openGeoDB
240077720,community_identification_number,01056046,openGeoDB
240077720,is_in,"Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240077720,is_in_loc_id,485,openGeoDB
240077720,layer,6,openGeoDB
240077720,license_plate_code,PI,openGeoDB
240077720,loc_id,24147,openGeoDB
240077720,location,political_structure,openGeoDB
240077720,name,Seeth-Ekholt,openGeoDB
240077720,population,862,openGeoDB
240077720,postal_codes,25337,openGeoDB
240077720,sort_name,SEETH-EKHOLT,openGeoDB
240077720,telephone_area_code,04121,openGeoDB
240077720,type,Gemeinde,openGeoDB
240077720,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240077720,place,village,regular
240077720,population,862,regular
240085428,name,Klein Nordende,regular
240085428,auto_update,"population,place,name",openGeoDB
240085428,combination_of_public_administration,Amt Elmshorn-Land,openGeoDB
240085428,community_identification_number,01056029,openGeoDB
240085428,is_in,"Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",openGeoDB
240085428,is_in_loc_id,485,openGeoDB
240085428,layer,6,openGeoDB
240085428,license_plate_code,PI,openGeoDB
240085428,loc_id,19402,openGeoDB
240085428,location,political_structure,openGeoDB
240085428,name,Klein Nordende,openGeoDB
240085428,population,3034,openGeoDB
240085428,postal_codes,25336,openGeoDB
240085428,sort_name,KLEIN NORDENDE,openGeoDB
240085428,telephone_area_code,04121,openGeoDB
240085428,type,Gemeinde,openGeoDB
240085428,version,0.2.6.11 / 2007-12-04 / http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB
240085428,place,village,regular
240085428,population,3034,regular
240102286,amtlicher_gemeindeschluessel,01056014,de
240102286,name,Ellerhoop,regular
240102286,nds,Ellerhoop,name
240102286,place,village,regular
240102286,population,1326,regular
240102286,postal_code,25373,regular
243718726,cid_58:tabcd_1:Class,Point,TMC
243718726,cid_58:tabcd_1:LCLversion,9.00,TMC
243718726,cid_58:tabcd_1:LocationCode,23519,TMC
243718726,cid_58:tabcd_1:NextLocationCode,23522,TMC
243718726,cid_58:tabcd_1:PrevLocationCode,57683,TMC
243718726,highway,traffic_signals,regular
243727069,created_by,JOSM,regular
243727071,created_by,JOSM,regular
243727074,created_by,JOSM,regular
243727080,created_by,JOSM,regular
243727082,created_by,JOSM,regular
243727084,created_by,JOSM,regular
243727090,created_by,JOSM,regular
243727092,created_by,JOSM,regular
243727093,created_by,JOSM,regular
243727103,created_by,JOSM,regular
243727105,created_by,JOSM,regular
243727113,name,Klein Nordende,regular
243727113,traffic_sign,city_limit,regular
243727122,created_by,JOSM,regular
243727125,highway,turning_circle,regular
243730884,bus,yes,regular
243730884,name,Eichenkamp,regular
243730884,public_transport,stop_position,regular
243730886,crossing,traffic_signals,regular
243730886,highway,traffic_signals,regular
243730910,created_by,JOSM,regular
243730911,created_by,JOSM,regular
243730913,created_by,JOSM,regular
243730914,name,Elmshorn,regular
243730914,traffic_sign,city_limit,regular
243730955,city,Elmshorn,addr
243730955,country,DE,addr
243730955,housenumber,2,addr
243730955,postcode,25337,addr
243730955,street,Kurt-Wagener-Straße,addr
243730955,amenity,cinema,regular
243730955,3D,yes,cinema
243730955,drive_in,no,regular
243730955,email,elmshorn@cineplex.de,regular
243730955,fax,+49 4922 918141,regular
243730955,level,0;1;2,regular
243730955,name,Cineplex Elmshorn,regular
243730955,phone,+49 4121 475475,regular
243730955,screen,7,regular
243730955,website,https://cineplex.de/elmshorn,regular
243730955,wheelchair,yes,regular
243886674,bus,yes,regular
243886674,name,"Seeth-Ekholt, Beeklohe",regular
243886674,public_transport,stop_position,regular
243886942,name,Bevern,regular
243886942,traffic_sign,city_limit,regular
243888006,name,Seeth-Ekholt,regular
243888006,traffic_sign,city_limit,regular
243888843,direction,forward,regular
243888843,highway,give_way,regular
243889415,bus,yes,regular
243889415,name,"Bevern, Am Karpfenteich",regular
243889415,public_transport,stop_position,regular
245184105,name,Kummerfeld,regular
245184105,traffic_sign,city_limit,regular
245202931,cid_58:tabcd_1:Class,Point,TMC
245202931,cid_58:tabcd_1:LCLversion,8.00,TMC
245202931,cid_58:tabcd_1:LocationCode,57658,TMC
245202931,cid_58:tabcd_1:NextLocationCode,57659,TMC
245202931,cid_58:tabcd_1:PrevLocationCode,57656,TMC
245728636,highway,traffic_signals,regular
245739652,button_operated,yes,regular
245739652,crossing,traffic_signals,regular
245739652,highway,crossing,regular
245755085,highway,traffic_signals,regular
245759065,highway,turning_circle,regular
245775246,bus,yes,regular
245775246,name,Lauenberg,regular
245775246,public_transport,stop_position,regular
245775248,highway,traffic_signals,regular
247173470,note,Durchfahr Seminarstraße von 7-14 Uhr fuer Autos gesperrt,regular
247374453,name,Elmshorn,regular
247374453,traffic_sign,city_limit,regular
247374914,highway,turning_circle,regular
248766191,bus,yes,regular
248766191,name,"Barmstedt, Hamburger Straße",regular
248766191,public_transport,stop_position,regular
248766209,highway,turning_circle,regular
248768003,bus,yes,regular
248768003,name,A Barmstedt / Brunnenstraße,regular
248768003,public_transport,stop_position,regular
248768397,entrance,yes,regular
248769497,highway,turning_circle,regular
248769918,direction,forward,regular
248769918,highway,give_way,regular
248770365,bus,yes,regular
248770365,name,"Barmstedt, Rantzauer See",regular
248770365,public_transport,stop_position,regular
248770479,highway,turning_circle,regular
248770676,highway,turning_circle,regular
248771192,railway,switch,regular
248771192,switch,default,railway
248771192,turnout_side,right,railway
248771193,railway,switch,regular
248771193,switch,default,railway
248771193,turnout_side,right,railway
248771197,railway,switch,regular
248771197,switch,default,railway
248771197,turnout_side,left,railway
248771200,railway,switch,regular
248771279,psv_type,A,hvv
248771279,name,Bokholt,regular
248771279,railway,halt,regular
248771279,request_stop,yes,regular
248771279,uic_name,Bokholt,regular
248771279,uic_ref,8007067,regular
248771279,wheelchair,no,regular
248771282,psv_type,A,hvv
248771282,name,Voßloch,regular
248771282,railway,station,regular
248771282,uic_name,Voßloch,regular
248771282,uic_ref,8007068,regular
248771282,wheelchair,no,regular
248772508,barrier,gate,regular
249185165,created_by,JOSM,regular
249185171,created_by,JOSM,regular
249216624,bus,yes,regular
249216624,name,Voßkuhlen,regular
249216624,public_transport,stop_position,regular
249267104,amenity,parking,regular
249496975,railway,level_crossing,regular
249499978,noexit,yes,regular
249500818,traffic_calming,chicane,regular
249501415,barrier,bollard,regular
249501916,cid_58:tabcd_1:Class,Point,TMC
249501916,cid_58:tabcd_1:LCLversion,9.00,TMC
249501916,cid_58:tabcd_1:LocationCode,23518,TMC
249501916,cid_58:tabcd_1:NextLocationCode,57683,TMC
249501916,cid_58:tabcd_1:PrevLocationCode,44749,TMC
249542475,barrier,bollard,regular
249542475,bicycle,yes,regular
249542475,foot,yes,regular
249542536,barrier,gate,regular
249542536,note,Stöpe,regular
249679634,highway,turning_circle,regular
249679642,highway,turning_circle,regular
249711885,traffic_calming,choker,regular
249712301,highway,turning_circle,regular
249713160,highway,turning_loop,regular
249721080,highway,turning_circle,regular
249728105,highway,turning_circle,regular
249728393,amenity,parking,regular
249728393,wheelchair,yes,regular
249728647,amenity,parking,regular
249728647,wheelchair,yes,regular
249728708,city,Uetersen,addr
249728708,country,DE,addr
249728708,housenumber,90,addr
249728708,postcode,25436,addr
249728708,street,Reuterstraße,addr
249728708,amenity,fuel,regular
249728708,lpg,yes,fuel
249728708,name,Nordoel,regular
249728708,wheelchair,limited,regular
249728846,amenity,fuel,regular
249728846,brand,OIL!,regular
249728846,wikidata,Q2007561,brand
249728846,wikipedia,de:OIL! Tankstellen,brand
249728846,name,OIL!,regular
249728846,self_service,yes,regular
249728846,wheelchair,limited,regular
249728847,city,Uetersen,addr
249728847,country,DE,addr
249728847,housenumber,13,addr
249728847,postcode,25436,addr
249728847,street,Jahnstraße,addr
249728847,amenity,fuel,regular
249728847,brand,Star,regular
249728847,wikidata,Q2031095,brand
249728847,wikipedia,de:Orlen Deutschland,brand
249728847,name,Star,regular
249728847,wheelchair,limited,regular
249729884,amenity,parking,regular
249741818,sport,table_tennis,regular
249745377,amenity,place_of_worship,regular
249745377,denomination,lutheran,regular
249745377,name,Erlöserkirche,regular
249745377,religion,christian,regular
249745377,website,http://erloeserkirche-uetersen.de/texte/seite.php?id=46068,regular
249745377,wheelchair,yes,regular
249745377,wikidata,Q1355785,regular
